EventTemplate,Occurrences
registerPluginDataListener <*> ,1
<*> <*> <*> <*> <*> <*> <*> is not <*> ,1
action:huawei.android.intent.action.SILENTDOWNLOAD_ALARM, mPermissionType:<*> ,1
isNetworkAvailable::netInfo isConnected! ,3
StatusBarNotifier - <*> <*> Notification(pri=<*> contentView=null vibrate=null sound=null defaults=0x0 <*> <*> <*> <*> <*> <*> contentView=null vibrate=null sound=null defaults=0x0 <*> <*> <*> ,1
action:android.intent.action.PHONE_STATE, mPermissionType:<*> ,1
Start proc <*> <*> <*> <*> <*> ,1
collectReceiverComponents, callerApp: ProcessRecord{506ad58 <*>:com.android.systemui/u0a33}, intent:com.android.systemui.statusbar.visible.change, receiver size:<*>, flags: <*> ,2
<*> <*> <*> <*> outq=<*> send_len=<*> ,5
<*> <*> <*> <*> euid: <*> ,12
<*> <*> <*> = true ,2
<*> <*> <*> <*> <*> java.net.SocketException: Socket <*> <*> <*> ,1
<*> <*> <*> type <*> <*> <*> <*> <*> ,8
<*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> state = <*> ,1
huawei_audio huawei_choose_HandsFree_device_incall_forHWtest: test Type =<*> ,6
netType<*> ,1
write:userId=<*>,mPosBrightness =<*>.<*>,mOffsetBrightness_last=<*>.<*>,mIsUserChange=false,mDeltaNew=<*>.<*>,mStartLuxDefaultBrightness=<*>.04mLastLuxDefaultBrightness=<*>.<*>,mAmLux=<*>.<*> ,1
proxyBroadcast:[com.huawei.appmarket] proxy:false ,1
Skipping, withExcluded: false, tr.intent:Intent { act=android.intent.action.VIEW <*> <*> <*> cmp=com.android.packageinstaller/.PackageInstallerActivity (has extras) } ,4
printPackageInfo end. ,1
onTrimMemory level:<*> ,1
apply hwPhoneState.mSubId:<*> anyMobileVisible:false mIsAirplaneMode:false, mobileGroupVisible=true ,309
wifi_send_command: cmd:'IFNAME=wlan0 <*> <*> <*> ,2
cancelNotificationLocked,remove =com.sankuai.meituan ,2
[SdcardManager.isMounted]Mounted:/storage/emulated/<*>:true ,18
InCallPresenter - <*> <*> <*> <*> ,1
to: connected=true,enabled=true,level=<*>,inetCondition=<*>,iconGroup=IconGroup(4G),activityIn=true,activityOut=true,rssi=<*>,lastModified=<*>-<*> <*>:<*>:<*>,isRoaming=false,dataSim=true,networkName=中国移动,networkNameData=中国移动,dataConnected=true,isDefault=true,isEmergency=false,airplaneMode=false,carrierNetworkChangeMode=false,userSetup=true ,13
ActivityThread,callActivityOnCreate ,3
